Timestamp,Speed,dist,left_angle,right_angle,pitch,roll,yaw,velX,velY,velZ,AbsTime
11546.3179,3.4600,25.3100,1.1800,2.8100,-0.1797,-0.3438,42.0078,2.5938,2.2500,0.0469,2021-09-10 12:35:58.0021
11546.3188,3.4600,25.3100,1.1800,2.8100,-0.1797,-0.3438,42.0078,2.5781,2.2500,0.0469,2021-09-10 12:35:58.0030
11546.3377,3.4600,25.3100,1.1800,2.8100,-0.2031,-0.3672,42.0234,2.5781,2.2500,0.0469,2021-09-10 12:35:58.0220
11546.3380,3.4600,25.3100,1.1800,2.8100,-0.2031,-0.3672,42.0234,2.5781,2.2500,0.0469,2021-09-10 12:35:58.0223
11546.3466,3.4600,25.3100,1.2800,2.7100,-0.2031,-0.3672,42.0234,2.5781,2.2500,0.0469,2021-09-10 12:35:58.0308
11546.3468,3.4200,25.3100,1.2800,2.7100,-0.2031,-0.3672,42.0234,2.5781,2.2500,0.0469,2021-09-10 12:35:58.0311
11546.3575,3.4200,25.3100,1.2800,2.7100,-0.2188,-0.3828,42.0313,2.5781,2.2500,0.0469,2021-09-10 12:35:58.0417
11546.3579,3.4200,25.3100,1.2800,2.7100,-0.2188,-0.3828,42.0313,2.5781,2.2344,0.0469,2021-09-10 12:35:58.0421
11546.3772,3.4200,25.3100,1.2800,2.7100,-0.2422,-0.3984,42.0469,2.5781,2.2344,0.0469,2021-09-10 12:35:58.0615
11546.3775,3.4200,25.3100,1.2800,2.7100,-0.2422,-0.3984,42.0469,2.5625,2.2344,0.0469,2021-09-10 12:35:58.0618
11546.3977,3.4200,25.3100,1.2800,2.7100,-0.2578,-0.4141,42.0547,2.5625,2.2344,0.0469,2021-09-10 12:35:58.0819
11546.3980,3.4200,25.3100,1.2800,2.7100,-0.2578,-0.4141,42.0547,2.5625,2.2188,0.0313,2021-09-10 12:35:58.0823
11546.4174,3.4200,25.3100,1.2800,2.7100,-0.2734,-0.4297,42.0703,2.5625,2.2188,0.0313,2021-09-10 12:35:58.1017
11546.4178,3.4200,25.3100,1.2800,2.7100,-0.2734,-0.4297,42.0703,2.5625,2.2188,0.0313,2021-09-10 12:35:58.1020
11546.4374,3.4200,25.3100,1.2800,2.7100,-0.2813,-0.4375,42.0781,2.5625,2.2188,0.0313,2021-09-10 12:35:58.1216
11546.4377,3.4200,25.3100,1.2800,2.7100,-0.2813,-0.4375,42.0781,2.5469,2.2031,0.0313,2021-09-10 12:35:58.1219
11546.4466,3.4200,25.3100,1.3400,2.6400,-0.2813,-0.4375,42.0781,2.5469,2.2031,0.0313,2021-09-10 12:35:58.1308
11546.4467,3.3800,25.3100,1.3400,2.6400,-0.2813,-0.4375,42.0781,2.5469,2.2031,0.0313,2021-09-10 12:35:58.1310
11546.4578,3.3800,25.3100,1.3400,2.6400,-0.2891,-0.4453,42.0938,2.5469,2.2031,0.0313,2021-09-10 12:35:58.1420
11546.4581,3.3800,25.3100,1.3400,2.6400,-0.2891,-0.4453,42.0938,2.5469,2.2031,0.0313,2021-09-10 12:35:58.1423
11546.4776,3.3800,25.3100,1.3400,2.6400,-0.2969,-0.4531,42.1016,2.5469,2.2031,0.0313,2021-09-10 12:35:58.1618
11546.4779,3.3800,25.3100,1.3400,2.6400,-0.2969,-0.4531,42.1016,2.5313,2.2031,0.0313,2021-09-10 12:35:58.1621
11546.4975,3.3800,25.3100,1.3400,2.6400,-0.2969,-0.4531,42.1172,2.5313,2.2031,0.0313,2021-09-10 12:35:58.1817
11546.4980,3.3800,25.3100,1.3400,2.6400,-0.2969,-0.4531,42.1172,2.5313,2.1875,0.0313,2021-09-10 12:35:58.1823
11546.5172,3.3800,25.3100,1.3400,2.6400,-0.2891,-0.4609,42.1250,2.5313,2.1875,0.0313,2021-09-10 12:35:58.2015
11546.5176,3.3800,25.3100,1.3400,2.6400,-0.2891,-0.4609,42.1250,2.5313,2.1875,0.0313,2021-09-10 12:35:58.2019
